EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:01:13	0.1000	2.2622	1.7763	0.4889	0.4889	0.4889	0.4889
2	21:01:29	0.1000	1.9563	1.7480	0.3014	0.3014	0.3014	0.3014
3	21:01:43	0.1000	1.7714	1.3302	0.6117	0.6117	0.6117	0.6117
4	21:01:56	0.1000	1.4327	1.2374	0.6315	0.6315	0.6315	0.6315
5	21:02:11	0.1000	1.3162	1.0727	0.6556	0.6556	0.6556	0.6556
6	21:02:27	0.1000	1.1925	0.9830	0.6746	0.6746	0.6746	0.6746
7	21:02:41	0.1000	1.0402	0.7483	0.7347	0.7347	0.7347	0.7347
8	21:02:56	0.1000	0.9091	0.6840	0.7750	0.7750	0.7750	0.7750
9	21:03:11	0.1000	0.8052	0.5672	0.8001	0.8001	0.8001	0.8001
10	21:03:26	0.1000	0.7235	0.5294	0.8154	0.8154	0.8154	0.8154
11	21:03:41	0.1000	0.6627	0.4802	0.8314	0.8314	0.8314	0.8314
12	21:03:55	0.1000	0.6204	0.4560	0.8414	0.8414	0.8414	0.8414
13	21:04:10	0.1000	0.5727	0.4272	0.8545	0.8545	0.8545	0.8545
14	21:04:25	0.1000	0.5437	0.4129	0.8629	0.8629	0.8629	0.8629
15	21:04:40	0.1000	0.5246	0.4009	0.8684	0.8684	0.8684	0.8684
16	21:04:54	0.1000	0.5031	0.3972	0.8668	0.8668	0.8668	0.8668
17	21:05:09	0.1000	0.4864	0.3832	0.8735	0.8735	0.8735	0.8735
18	21:05:25	0.1000	0.4727	0.3690	0.8796	0.8796	0.8796	0.8796
19	21:05:39	0.1000	0.4601	0.3656	0.8788	0.8788	0.8788	0.8788
20	21:05:54	0.1000	0.4503	0.3472	0.8889	0.8889	0.8889	0.8889
21	21:06:08	0.1000	0.4352	0.3341	0.8926	0.8926	0.8926	0.8926
22	21:06:25	0.1000	0.4212	0.3266	0.8972	0.8972	0.8972	0.8972
23	21:06:41	0.1000	0.4057	0.3169	0.8973	0.8973	0.8973	0.8973
24	21:06:55	0.1000	0.3967	0.3119	0.9014	0.9014	0.9014	0.9014
25	21:07:10	0.1000	0.3900	0.2993	0.9065	0.9065	0.9065	0.9065
26	21:07:26	0.1000	0.3826	0.2912	0.9088	0.9088	0.9088	0.9088
27	21:07:41	0.1000	0.3718	0.2838	0.9100	0.9100	0.9100	0.9100
28	21:07:56	0.1000	0.3606	0.2767	0.9158	0.9158	0.9158	0.9158
29	21:08:11	0.1000	0.3557	0.2712	0.9166	0.9166	0.9166	0.9166
30	21:08:26	0.1000	0.3427	0.2730	0.9120	0.9120	0.9120	0.9120
31	21:08:41	0.1000	0.3402	0.2606	0.9185	0.9185	0.9185	0.9185
32	21:08:56	0.1000	0.3218	0.2553	0.9198	0.9198	0.9198	0.9198
33	21:09:11	0.1000	0.3123	0.2579	0.9194	0.9194	0.9194	0.9194
34	21:09:26	0.1000	0.3109	0.2452	0.9251	0.9251	0.9251	0.9251
35	21:09:41	0.1000	0.3088	0.2395	0.9285	0.9285	0.9285	0.9285
36	21:09:56	0.1000	0.2955	0.2286	0.9318	0.9318	0.9318	0.9318
37	21:10:11	0.1000	0.2927	0.2358	0.9278	0.9278	0.9278	0.9278
38	21:10:26	0.1000	0.2793	0.2228	0.9313	0.9313	0.9313	0.9313
39	21:10:41	0.1000	0.2784	0.2280	0.9311	0.9311	0.9311	0.9311
40	21:10:55	0.1000	0.2743	0.2196	0.9360	0.9360	0.9360	0.9360
