EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:53:16	0.1000	2.5942	3.3491	0.1307	0.1307	0.1307	0.1307
2	20:53:17	0.1000	2.1830	3.2126	0.1608	0.1608	0.1608	0.1608
3	20:53:19	0.1000	2.0546	3.0319	0.2126	0.2126	0.2126	0.2126
4	20:53:21	0.1000	1.8707	2.8278	0.2142	0.2142	0.2142	0.2142
5	20:53:23	0.1000	1.7265	2.5272	0.1870	0.1870	0.1870	0.1870
6	20:53:25	0.1000	1.6807	2.4251	0.1952	0.1952	0.1952	0.1952
7	20:53:26	0.1000	1.6043	2.5146	0.2008	0.2008	0.2008	0.2008
8	20:53:28	0.1000	1.5142	2.6203	0.2538	0.2538	0.2538	0.2538
9	20:53:30	0.1000	1.4424	2.7414	0.2699	0.2699	0.2699	0.2699
10	20:53:32	0.1000	1.3661	3.0801	0.2896	0.2896	0.2896	0.2896
11	20:53:34	0.1000	1.2906	2.6080	0.3144	0.3144	0.3144	0.3144
12	20:53:35	0.1000	1.2086	3.2875	0.3131	0.3131	0.3131	0.3131
13	20:53:37	0.1000	1.1141	2.8556	0.3285	0.3285	0.3285	0.3285
14	20:53:39	0.1000	1.0179	3.1771	0.3498	0.3498	0.3498	0.3498
15	20:53:41	0.1000	0.9427	3.7948	0.3456	0.3456	0.3456	0.3456
16	20:53:42	0.1000	0.8716	3.3418	0.3482	0.3482	0.3482	0.3482
17	20:53:44	0.1000	0.8272	3.8675	0.3587	0.3587	0.3587	0.3587
18	20:53:46	0.1000	0.7536	3.7383	0.3390	0.3390	0.3390	0.3390
19	20:53:48	0.1000	0.6794	3.8939	0.3528	0.3528	0.3528	0.3528
20	20:53:50	0.1000	0.6254	3.6124	0.3619	0.3619	0.3619	0.3619
21	20:53:53	0.1000	0.5878	3.8498	0.3557	0.3557	0.3557	0.3557
22	20:53:55	0.1000	0.5565	3.5078	0.3596	0.3596	0.3596	0.3596
23	20:53:57	0.1000	0.5250	4.2373	0.3688	0.3688	0.3688	0.3688
24	20:53:59	0.1000	0.4840	4.0577	0.3583	0.3583	0.3583	0.3583
25	20:54:01	0.1000	0.4823	3.3641	0.3547	0.3547	0.3547	0.3547
26	20:54:03	0.1000	0.4104	4.3450	0.3885	0.3885	0.3885	0.3885
27	20:54:05	0.1000	0.4384	3.9874	0.3655	0.3655	0.3655	0.3655
28	20:54:07	0.1000	0.3974	3.8120	0.3619	0.3619	0.3619	0.3619
29	20:54:09	0.1000	0.3928	3.8710	0.3505	0.3505	0.3505	0.3505
30	20:54:12	0.1000	0.3734	4.1130	0.3786	0.3786	0.3786	0.3786
31	20:54:14	0.0500	0.3854	3.6752	0.3678	0.3678	0.3678	0.3678
32	20:54:16	0.0500	0.3380	4.0754	0.3580	0.3580	0.3580	0.3580
33	20:54:18	0.0500	0.3425	3.7967	0.3528	0.3528	0.3528	0.3528
34	20:54:20	0.0500	0.3538	3.6935	0.3701	0.3701	0.3701	0.3701
35	20:54:23	0.0250	0.3177	3.7644	0.3626	0.3626	0.3626	0.3626
36	20:54:25	0.0250	0.3517	3.7746	0.3626	0.3626	0.3626	0.3626
37	20:54:27	0.0250	0.3296	3.7451	0.3577	0.3577	0.3577	0.3577
38	20:54:29	0.0250	0.3207	3.6437	0.3626	0.3626	0.3626	0.3626
39	20:54:31	0.0125	0.3078	3.7851	0.3655	0.3655	0.3655	0.3655
40	20:54:33	0.0125	0.3091	3.7459	0.3698	0.3698	0.3698	0.3698
41	20:54:35	0.0125	0.3123	3.7740	0.3698	0.3698	0.3698	0.3698
42	20:54:38	0.0125	0.3385	3.7483	0.3603	0.3603	0.3603	0.3603
43	20:54:40	0.0063	0.3226	3.7350	0.3623	0.3623	0.3623	0.3623
44	20:54:42	0.0063	0.3044	3.7229	0.3626	0.3626	0.3626	0.3626
45	20:54:44	0.0063	0.3220	3.6674	0.3636	0.3636	0.3636	0.3636
46	20:54:46	0.0063	0.3161	3.7381	0.3629	0.3629	0.3629	0.3629
47	20:54:48	0.0031	0.3104	3.7304	0.3629	0.3629	0.3629	0.3629
48	20:54:50	0.0031	0.2942	3.7620	0.3652	0.3652	0.3652	0.3652
49	20:54:52	0.0031	0.2979	3.7166	0.3669	0.3669	0.3669	0.3669
50	20:54:54	0.0031	0.3051	3.7116	0.3669	0.3669	0.3669	0.3669
51	20:54:56	0.0016	0.3332	3.7047	0.3652	0.3652	0.3652	0.3652
52	20:54:58	0.0016	0.2928	3.7186	0.3669	0.3669	0.3669	0.3669
53	20:55:00	0.0016	0.3117	3.7165	0.3672	0.3672	0.3672	0.3672
54	20:55:02	0.0016	0.3103	3.7283	0.3678	0.3678	0.3678	0.3678
55	20:55:04	0.0008	0.2970	3.7276	0.3665	0.3665	0.3665	0.3665
56	20:55:06	0.0008	0.3102	3.7244	0.3655	0.3655	0.3655	0.3655
57	20:55:08	0.0008	0.3062	3.7133	0.3652	0.3652	0.3652	0.3652
58	20:55:11	0.0008	0.2945	3.7088	0.3642	0.3642	0.3642	0.3642
59	20:55:13	0.0004	0.2938	3.7119	0.3649	0.3649	0.3649	0.3649
60	20:55:15	0.0004	0.3042	3.7118	0.3646	0.3646	0.3646	0.3646
61	20:55:17	0.0004	0.2913	3.7192	0.3655	0.3655	0.3655	0.3655
62	20:55:19	0.0004	0.3036	3.7145	0.3649	0.3649	0.3649	0.3649
63	20:55:21	0.0002	0.2979	3.7148	0.3649	0.3649	0.3649	0.3649
64	20:55:24	0.0002	0.2909	3.7156	0.3646	0.3646	0.3646	0.3646
