EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:42:02	0.1000	2.0625	1.5736	0.5142	0.5142	0.5142	0.5142
2	17:42:10	0.1000	1.7336	1.4258	0.5346	0.5346	0.5346	0.5346
3	17:42:17	0.1000	1.5012	1.1580	0.6050	0.6050	0.6050	0.6050
4	17:42:23	0.1000	1.1858	0.9045	0.7234	0.7234	0.7234	0.7234
5	17:42:29	0.1000	0.9370	0.6736	0.7917	0.7917	0.7917	0.7917
6	17:42:36	0.1000	0.7752	0.5633	0.8315	0.8315	0.8315	0.8315
7	17:42:42	0.1000	0.6688	0.4980	0.8513	0.8513	0.8513	0.8513
8	17:42:49	0.1000	0.6114	0.4557	0.8585	0.8585	0.8585	0.8585
9	17:42:56	0.1000	0.5761	0.4411	0.8626	0.8626	0.8626	0.8626
10	17:43:04	0.1000	0.5381	0.4262	0.8661	0.8661	0.8661	0.8661
11	17:43:11	0.1000	0.5172	0.4244	0.8664	0.8664	0.8664	0.8664
12	17:43:18	0.1000	0.4997	0.4173	0.8716	0.8716	0.8716	0.8716
13	17:43:25	0.1000	0.4850	0.3935	0.8720	0.8720	0.8720	0.8720
14	17:43:32	0.1000	0.4671	0.3928	0.8798	0.8798	0.8798	0.8798
15	17:43:40	0.1000	0.4580	0.3788	0.8811	0.8811	0.8811	0.8811
16	17:43:48	0.1000	0.4268	0.3678	0.8812	0.8812	0.8812	0.8812
17	17:43:54	0.1000	0.4235	0.3682	0.8843	0.8843	0.8843	0.8843
18	17:44:01	0.1000	0.4074	0.3522	0.8885	0.8885	0.8885	0.8885
19	17:44:09	0.1000	0.3862	0.3608	0.8851	0.8851	0.8851	0.8851
20	17:44:17	0.1000	0.3758	0.3650	0.8964	0.8964	0.8964	0.8964
21	17:44:24	0.1000	0.3608	0.3365	0.8957	0.8957	0.8957	0.8957
22	17:44:31	0.1000	0.3501	0.3211	0.9021	0.9021	0.9021	0.9021
23	17:44:38	0.1000	0.3335	0.3234	0.8998	0.8998	0.8998	0.8998
24	17:44:45	0.1000	0.3207	0.3345	0.9027	0.9027	0.9027	0.9027
25	17:44:52	0.1000	0.3123	0.3022	0.9074	0.9074	0.9074	0.9074
26	17:44:59	0.1000	0.2957	0.3080	0.9091	0.9091	0.9091	0.9091
27	17:45:06	0.1000	0.2877	0.2987	0.9049	0.9049	0.9049	0.9049
28	17:45:13	0.1000	0.2790	0.3015	0.9103	0.9103	0.9103	0.9103
29	17:45:20	0.1000	0.2645	0.2988	0.9074	0.9074	0.9074	0.9074
30	17:45:27	0.1000	0.2618	0.2912	0.9114	0.9114	0.9114	0.9114
31	17:45:36	0.1000	0.2462	0.2907	0.9129	0.9129	0.9129	0.9129
32	17:45:44	0.1000	0.2451	0.2934	0.9107	0.9107	0.9107	0.9107
33	17:45:52	0.1000	0.2415	0.2911	0.9107	0.9107	0.9107	0.9107
34	17:46:00	0.1000	0.2386	0.2887	0.9129	0.9129	0.9129	0.9129
35	17:46:08	0.1000	0.2240	0.2915	0.9085	0.9085	0.9085	0.9085
36	17:46:17	0.1000	0.2168	0.2812	0.9186	0.9186	0.9186	0.9186
37	17:46:24	0.1000	0.2122	0.2931	0.9134	0.9134	0.9134	0.9134
38	17:46:32	0.1000	0.2111	0.2823	0.9144	0.9144	0.9144	0.9144
39	17:46:40	0.1000	0.2068	0.2775	0.9182	0.9182	0.9182	0.9182
40	17:46:47	0.1000	0.1984	0.2735	0.9210	0.9210	0.9210	0.9210
41	17:46:55	0.1000	0.1973	0.2747	0.9181	0.9181	0.9181	0.9181
42	17:47:03	0.1000	0.1957	0.2803	0.9185	0.9185	0.9185	0.9185
43	17:47:11	0.1000	0.1942	0.2818	0.9190	0.9190	0.9190	0.9190
44	17:47:18	0.1000	0.1904	0.2811	0.9200	0.9200	0.9200	0.9200
45	17:47:26	0.0500	0.1721	0.2721	0.9227	0.9227	0.9227	0.9227
46	17:47:34	0.0500	0.1743	0.2753	0.9231	0.9231	0.9231	0.9231
47	17:47:42	0.0500	0.1650	0.2713	0.9255	0.9255	0.9255	0.9255
48	17:47:50	0.0500	0.1664	0.2767	0.9212	0.9212	0.9212	0.9212
49	17:47:58	0.0500	0.1601	0.2749	0.9239	0.9239	0.9239	0.9239
50	17:48:05	0.0500	0.1623	0.2740	0.9205	0.9205	0.9205	0.9205
51	17:48:13	0.0500	0.1574	0.2807	0.9195	0.9195	0.9195	0.9195
