EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	00:17:40	0.1000	1.8131	1.4466	0.6248	0.6248	0.6248	0.6248
2	00:18:17	0.1000	1.5030	1.3948	0.6393	0.6393	0.6393	0.6393
3	00:18:56	0.1000	1.4271	1.3165	0.6394	0.6394	0.6394	0.6394
4	00:19:30	0.1000	1.3625	1.2262	0.7020	0.7020	0.7020	0.7020
5	00:20:00	0.1000	1.1678	0.9821	0.7264	0.7264	0.7264	0.7264
6	00:20:30	0.1000	1.0109	0.8927	0.7321	0.7321	0.7321	0.7321
7	00:21:01	0.1000	0.9189	0.7914	0.7439	0.7439	0.7439	0.7439
8	00:21:29	0.1000	0.8620	0.7528	0.7612	0.7612	0.7612	0.7612
9	00:21:56	0.1000	0.7909	0.6649	0.7983	0.7983	0.7983	0.7983
10	00:22:24	0.1000	0.6963	0.5478	0.8261	0.8261	0.8261	0.8261
11	00:22:53	0.1000	0.6120	0.4848	0.8496	0.8496	0.8496	0.8496
12	00:23:20	0.1000	0.5479	0.4225	0.8636	0.8636	0.8636	0.8636
13	00:23:50	0.1000	0.5119	0.3948	0.8640	0.8640	0.8640	0.8640
14	00:24:26	0.1000	0.4804	0.3756	0.8782	0.8782	0.8782	0.8782
15	00:25:06	0.1000	0.4525	0.3513	0.8812	0.8812	0.8812	0.8812
16	00:25:47	0.1000	0.4349	0.3302	0.8896	0.8896	0.8896	0.8896
17	00:26:27	0.1000	0.4090	0.3113	0.9002	0.9002	0.9002	0.9002
18	00:27:08	0.1000	0.3938	0.2944	0.9025	0.9025	0.9025	0.9025
19	00:28:02	0.1000	0.3683	0.2746	0.9149	0.9149	0.9149	0.9149
20	00:28:55	0.1000	0.3519	0.2607	0.9198	0.9198	0.9198	0.9198
21	00:29:36	0.1000	0.3355	0.2464	0.9235	0.9235	0.9235	0.9235
22	00:30:20	0.1000	0.3278	0.2431	0.9247	0.9247	0.9247	0.9247
23	00:31:05	0.1000	0.3094	0.2267	0.9304	0.9304	0.9304	0.9304
24	00:31:47	0.1000	0.3012	0.2217	0.9306	0.9306	0.9306	0.9306
25	00:32:21	0.1000	0.2878	0.2117	0.9362	0.9362	0.9362	0.9362
26	00:32:58	0.1000	0.2801	0.2104	0.9341	0.9341	0.9341	0.9341
27	00:33:34	0.1000	0.2740	0.2012	0.9399	0.9399	0.9399	0.9399
28	00:34:17	0.1000	0.2681	0.2057	0.9353	0.9353	0.9353	0.9353
29	00:34:57	0.1000	0.2576	0.1980	0.9383	0.9383	0.9383	0.9383
30	00:35:37	0.1000	0.2554	0.1938	0.9390	0.9390	0.9390	0.9390
31	00:36:16	0.1000	0.2463	0.1843	0.9440	0.9440	0.9440	0.9440
32	00:36:57	0.1000	0.2362	0.1785	0.9452	0.9452	0.9452	0.9452
