EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:02:19	0.1000	1.9285	1.6021	0.6182	0.6182	0.6182	0.6182
2	21:02:40	0.1000	1.6207	1.4512	0.6182	0.6182	0.6182	0.6182
3	21:03:00	0.1000	1.5272	1.4107	0.6191	0.6191	0.6191	0.6191
4	21:03:21	0.1000	1.4254	1.1919	0.6448	0.6448	0.6448	0.6448
5	21:03:42	0.1000	1.1917	1.0354	0.7183	0.7183	0.7183	0.7183
6	21:04:02	0.1000	1.0588	0.9075	0.7255	0.7255	0.7255	0.7255
7	21:04:23	0.1000	0.9679	0.8572	0.7250	0.7250	0.7250	0.7250
8	21:04:44	0.1000	0.9131	0.7937	0.7313	0.7313	0.7313	0.7313
9	21:05:04	0.1000	0.8753	0.7802	0.7399	0.7399	0.7399	0.7399
10	21:05:26	0.1000	0.8405	0.7208	0.7573	0.7573	0.7573	0.7573
11	21:05:47	0.1000	0.7984	0.6749	0.7737	0.7737	0.7737	0.7737
12	21:06:08	0.1000	0.7223	0.5689	0.8089	0.8089	0.8089	0.8089
13	21:06:31	0.1000	0.6306	0.4892	0.8361	0.8361	0.8361	0.8361
14	21:06:52	0.1000	0.5574	0.4363	0.8498	0.8498	0.8498	0.8498
15	21:07:12	0.1000	0.5107	0.4016	0.8622	0.8622	0.8622	0.8622
16	21:07:34	0.1000	0.4800	0.3802	0.8679	0.8679	0.8679	0.8679
17	21:07:55	0.1000	0.4548	0.3550	0.8795	0.8795	0.8795	0.8795
18	21:08:16	0.1000	0.4353	0.3537	0.8737	0.8737	0.8737	0.8737
19	21:08:38	0.1000	0.4139	0.3237	0.8904	0.8904	0.8904	0.8904
20	21:08:58	0.1000	0.3986	0.3009	0.8992	0.8992	0.8992	0.8992
21	21:09:19	0.1000	0.3826	0.2840	0.9085	0.9085	0.9085	0.9085
22	21:09:41	0.1000	0.3621	0.2731	0.9127	0.9127	0.9127	0.9127
23	21:10:01	0.1000	0.3468	0.2627	0.9160	0.9160	0.9160	0.9160
24	21:10:22	0.1000	0.3318	0.2539	0.9193	0.9193	0.9193	0.9193
25	21:10:43	0.1000	0.3205	0.2341	0.9262	0.9262	0.9262	0.9262
26	21:11:03	0.1000	0.3055	0.2311	0.9261	0.9261	0.9261	0.9261
27	21:11:25	0.1000	0.2932	0.2214	0.9299	0.9299	0.9299	0.9299
28	21:11:45	0.1000	0.2896	0.2085	0.9351	0.9351	0.9351	0.9351
29	21:12:07	0.1000	0.2803	0.2048	0.9351	0.9351	0.9351	0.9351
30	21:24:27	0.1000	0.2711	0.1981	0.9385	0.9385	0.9385	0.9385
31	21:24:52	0.1000	0.2635	0.1882	0.9416	0.9416	0.9416	0.9416
32	21:25:17	0.1000	0.2581	0.1831	0.9433	0.9433	0.9433	0.9433
33	21:25:43	0.1000	0.2460	0.1821	0.9418	0.9418	0.9418	0.9418
34	21:26:11	0.1000	0.2379	0.1820	0.9423	0.9423	0.9423	0.9423
35	21:26:38	0.1000	0.2323	0.1748	0.9450	0.9450	0.9450	0.9450
36	21:27:04	0.1000	0.2296	0.1714	0.9464	0.9464	0.9464	0.9464
37	21:27:28	0.1000	0.2191	0.1724	0.9442	0.9442	0.9442	0.9442
38	21:27:52	0.1000	0.2199	0.1629	0.9478	0.9478	0.9478	0.9478
39	21:28:17	0.1000	0.2088	0.1595	0.9501	0.9501	0.9501	0.9501
40	21:28:41	0.1000	0.2083	0.1550	0.9509	0.9509	0.9509	0.9509
41	21:29:05	0.1000	0.2052	0.1526	0.9529	0.9529	0.9529	0.9529
42	21:29:29	0.1000	0.1967	0.1563	0.9511	0.9511	0.9511	0.9511
43	21:29:53	0.1000	0.1927	0.1506	0.9520	0.9520	0.9520	0.9520
44	21:30:20	0.1000	0.1882	0.1505	0.9529	0.9529	0.9529	0.9529
45	21:30:48	0.1000	0.1882	0.1476	0.9532	0.9532	0.9532	0.9532
46	21:31:16	0.1000	0.1810	0.1437	0.9544	0.9544	0.9544	0.9544
47	21:31:42	0.1000	0.1812	0.1452	0.9543	0.9543	0.9543	0.9543
48	21:32:07	0.1000	0.1809	0.1425	0.9554	0.9554	0.9554	0.9554
49	21:32:31	0.1000	0.1727	0.1420	0.9548	0.9548	0.9548	0.9548
50	21:32:56	0.1000	0.1730	0.1370	0.9564	0.9564	0.9564	0.9564
51	21:33:22	0.1000	0.1661	0.1399	0.9553	0.9553	0.9553	0.9553
52	21:33:46	0.1000	0.1660	0.1367	0.9564	0.9564	0.9564	0.9564
53	21:34:11	0.1000	0.1614	0.1365	0.9568	0.9568	0.9568	0.9568
54	21:34:38	0.1000	0.1601	0.1359	0.9569	0.9569	0.9569	0.9569
55	21:35:05	0.1000	0.1578	0.1327	0.9579	0.9579	0.9579	0.9579
56	21:35:32	0.1000	0.1542	0.1297	0.9590	0.9590	0.9590	0.9590
57	21:35:59	0.1000	0.1506	0.1310	0.9591	0.9591	0.9591	0.9591
58	21:36:24	0.1000	0.1523	0.1294	0.9587	0.9587	0.9587	0.9587
