EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:52:27	0.1000	1.9999	1.6794	0.5550	0.5550	0.5550	0.5550
2	20:52:31	0.1000	1.6967	1.5324	0.5713	0.5713	0.5713	0.5713
3	20:52:34	0.1000	1.6480	1.5611	0.3791	0.3791	0.3791	0.3791
4	20:52:37	0.1000	1.6187	1.4790	0.5713	0.5713	0.5713	0.5713
5	20:52:40	0.1000	1.5799	1.4573	0.6181	0.6181	0.6181	0.6181
6	20:52:43	0.1000	1.4800	1.3122	0.6184	0.6184	0.6184	0.6184
7	20:52:46	0.1000	1.4258	1.2749	0.6336	0.6336	0.6336	0.6336
8	20:52:49	0.1000	1.3857	1.2580	0.4977	0.4977	0.4977	0.4977
9	20:52:52	0.1000	1.3402	1.1629	0.6342	0.6342	0.6342	0.6342
10	20:52:55	0.1000	1.2808	1.1312	0.6404	0.6404	0.6404	0.6404
11	20:52:58	0.1000	1.2136	1.0475	0.6463	0.6463	0.6463	0.6463
12	20:53:01	0.1000	1.1617	1.0020	0.6635	0.6635	0.6635	0.6635
13	20:53:05	0.1000	1.1197	0.9815	0.6736	0.6736	0.6736	0.6736
14	20:53:08	0.1000	1.0906	0.9748	0.6646	0.6646	0.6646	0.6646
15	20:53:11	0.1000	1.0865	0.9459	0.6781	0.6781	0.6781	0.6781
16	20:53:14	0.1000	1.0448	0.9832	0.6795	0.6795	0.6795	0.6795
17	20:53:17	0.1000	1.0386	0.9308	0.6843	0.6843	0.6843	0.6843
18	20:53:21	0.1000	1.0086	0.8997	0.6931	0.6931	0.6931	0.6931
19	20:53:24	0.1000	0.9922	0.9016	0.6993	0.6993	0.6993	0.6993
20	20:53:28	0.1000	0.9685	0.8772	0.6981	0.6981	0.6981	0.6981
21	20:53:31	0.1000	0.9387	0.8543	0.7170	0.7170	0.7170	0.7170
22	20:53:35	0.1000	0.9224	0.8679	0.7063	0.7063	0.7063	0.7063
23	20:53:38	0.1000	0.8971	0.8165	0.7303	0.7303	0.7303	0.7303
24	20:53:41	0.1000	0.8618	0.7793	0.7399	0.7399	0.7399	0.7399
25	20:53:45	0.1000	0.8472	0.7725	0.7387	0.7387	0.7387	0.7387
