EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	00:16:17	0.1000	1.5692	1.3199	0.6648	0.6648	0.6648	0.6648
2	00:16:40	0.1000	1.3113	1.1429	0.6709	0.6709	0.6709	0.6709
3	00:17:07	0.1000	1.1013	0.9568	0.6974	0.6974	0.6974	0.6974
4	00:17:34	0.1000	0.9418	0.8201	0.7481	0.7481	0.7481	0.7481
5	00:17:59	0.1000	0.8075	0.6812	0.7914	0.7914	0.7914	0.7914
6	00:18:26	0.1000	0.6710	0.5517	0.8289	0.8289	0.8289	0.8289
7	00:18:54	0.1000	0.5863	0.4859	0.8447	0.8447	0.8447	0.8447
8	00:19:18	0.1000	0.5286	0.4410	0.8544	0.8544	0.8544	0.8544
9	00:19:41	0.1000	0.4776	0.4087	0.8651	0.8651	0.8651	0.8651
10	00:20:01	0.1000	0.4380	0.3678	0.8802	0.8802	0.8802	0.8802
11	00:20:23	0.1000	0.4094	0.3381	0.8879	0.8879	0.8879	0.8879
12	00:20:44	0.1000	0.3755	0.3195	0.8974	0.8974	0.8974	0.8974
13	00:21:05	0.1000	0.3539	0.2989	0.8971	0.8971	0.8971	0.8971
14	00:21:25	0.1000	0.3347	0.2878	0.9054	0.9054	0.9054	0.9054
15	00:21:43	0.1000	0.3144	0.2713	0.9054	0.9054	0.9054	0.9054
16	00:22:02	0.1000	0.2983	0.2575	0.9133	0.9133	0.9133	0.9133
17	00:22:21	0.1000	0.2823	0.2555	0.9127	0.9127	0.9127	0.9127
18	00:22:41	0.1000	0.2713	0.2378	0.9246	0.9246	0.9246	0.9246
19	00:22:59	0.1000	0.2582	0.2313	0.9244	0.9244	0.9244	0.9244
20	00:23:18	0.1000	0.2505	0.2298	0.9284	0.9284	0.9284	0.9284
21	00:23:40	0.1000	0.2436	0.2223	0.9308	0.9308	0.9308	0.9308
22	00:24:00	0.1000	0.2342	0.2082	0.9341	0.9341	0.9341	0.9341
23	00:24:27	0.1000	0.2196	0.2084	0.9332	0.9332	0.9332	0.9332
24	00:24:55	0.1000	0.2137	0.2018	0.9347	0.9347	0.9347	0.9347
25	00:25:22	0.1000	0.2083	0.1990	0.9357	0.9357	0.9357	0.9357
26	00:25:50	0.1000	0.1987	0.1954	0.9387	0.9387	0.9387	0.9387
27	00:26:18	0.1000	0.1931	0.1939	0.9361	0.9361	0.9361	0.9361
28	00:26:46	0.1000	0.1869	0.1899	0.9403	0.9403	0.9403	0.9403
29	00:27:18	0.1000	0.1805	0.1845	0.9398	0.9398	0.9398	0.9398
30	00:27:57	0.1000	0.1814	0.1854	0.9394	0.9394	0.9394	0.9394
31	00:28:37	0.1000	0.1743	0.1824	0.9432	0.9432	0.9432	0.9432
32	00:29:08	0.1000	0.1704	0.1821	0.9445	0.9445	0.9445	0.9445
33	00:29:37	0.1000	0.1665	0.1790	0.9421	0.9421	0.9421	0.9421
34	00:30:11	0.1000	0.1633	0.1766	0.9447	0.9447	0.9447	0.9447
35	00:30:42	0.1000	0.1597	0.1810	0.9413	0.9413	0.9413	0.9413
36	00:31:13	0.1000	0.1575	0.1752	0.9432	0.9432	0.9432	0.9432
37	00:31:43	0.1000	0.1502	0.1849	0.9421	0.9421	0.9421	0.9421
38	00:32:08	0.1000	0.1500	0.1745	0.9454	0.9454	0.9454	0.9454
39	00:32:33	0.1000	0.1455	0.1764	0.9442	0.9442	0.9442	0.9442
40	00:32:59	0.1000	0.1439	0.1794	0.9421	0.9421	0.9421	0.9421
41	00:33:24	0.1000	0.1427	0.1738	0.9465	0.9465	0.9465	0.9465
42	00:33:55	0.1000	0.1433	0.1841	0.9415	0.9415	0.9415	0.9415
43	00:34:23	0.1000	0.1365	0.1699	0.9463	0.9463	0.9463	0.9463
44	00:34:54	0.1000	0.1388	0.1734	0.9471	0.9471	0.9471	0.9471
45	00:35:21	0.1000	0.1302	0.1668	0.9478	0.9478	0.9478	0.9478
46	00:35:51	0.1000	0.1357	0.1663	0.9493	0.9493	0.9493	0.9493
