EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:45:36	0.1000	1.6598	1.4144	0.6194	0.6194	0.6194	0.6194
2	17:45:49	0.1000	1.4178	1.2551	0.6338	0.6338	0.6338	0.6338
3	17:46:02	0.1000	1.2174	1.0116	0.6701	0.6701	0.6701	0.6701
4	17:46:15	0.1000	1.0360	0.9205	0.6958	0.6958	0.6958	0.6958
5	17:46:27	0.1000	0.9587	0.8683	0.7118	0.7118	0.7118	0.7118
6	17:46:39	0.1000	0.9038	0.8216	0.7236	0.7236	0.7236	0.7236
7	17:46:51	0.1000	0.8419	0.7365	0.7574	0.7574	0.7574	0.7574
8	17:47:03	0.1000	0.7361	0.6115	0.7998	0.7998	0.7998	0.7998
9	17:47:16	0.1000	0.6212	0.5263	0.8298	0.8298	0.8298	0.8298
10	17:47:28	0.1000	0.5604	0.4792	0.8461	0.8461	0.8461	0.8461
11	17:47:40	0.1000	0.5167	0.4389	0.8588	0.8588	0.8588	0.8588
12	17:47:53	0.1000	0.4853	0.4145	0.8655	0.8655	0.8655	0.8655
13	17:48:05	0.1000	0.4579	0.3960	0.8730	0.8730	0.8730	0.8730
14	17:48:17	0.1000	0.4302	0.3797	0.8740	0.8740	0.8740	0.8740
15	17:48:30	0.1000	0.4103	0.3545	0.8842	0.8842	0.8842	0.8842
16	17:48:42	0.1000	0.3863	0.3299	0.8921	0.8921	0.8921	0.8921
17	17:48:54	0.1000	0.3721	0.3228	0.8933	0.8933	0.8933	0.8933
18	17:49:07	0.1000	0.3472	0.3003	0.9011	0.9011	0.9011	0.9011
19	17:49:20	0.1000	0.3366	0.2906	0.9024	0.9024	0.9024	0.9024
20	17:49:32	0.1000	0.3176	0.2778	0.9075	0.9075	0.9075	0.9075
21	17:49:45	0.1000	0.3010	0.2670	0.9102	0.9102	0.9102	0.9102
22	17:49:57	0.1000	0.2932	0.2714	0.9068	0.9068	0.9068	0.9068
23	17:50:09	0.1000	0.2784	0.2622	0.9135	0.9135	0.9135	0.9135
24	17:50:21	0.1000	0.2702	0.2547	0.9162	0.9162	0.9162	0.9162
25	17:50:33	0.1000	0.2600	0.2491	0.9189	0.9189	0.9189	0.9189
26	17:50:45	0.1000	0.2505	0.2433	0.9195	0.9195	0.9195	0.9195
27	17:50:58	0.1000	0.2469	0.2353	0.9220	0.9220	0.9220	0.9220
28	17:51:10	0.1000	0.2380	0.2267	0.9236	0.9236	0.9236	0.9236
29	17:51:23	0.1000	0.2305	0.2349	0.9229	0.9229	0.9229	0.9229
30	17:51:35	0.1000	0.2202	0.2225	0.9299	0.9299	0.9299	0.9299
31	17:51:47	0.1000	0.2145	0.2289	0.9225	0.9225	0.9225	0.9225
32	17:51:59	0.1000	0.2090	0.2131	0.9307	0.9307	0.9307	0.9307
33	17:52:11	0.1000	0.2016	0.2105	0.9307	0.9307	0.9307	0.9307
34	17:52:23	0.1000	0.1941	0.2111	0.9326	0.9326	0.9326	0.9326
35	17:52:36	0.1000	0.1930	0.2084	0.9327	0.9327	0.9327	0.9327
36	17:52:48	0.1000	0.1908	0.2046	0.9369	0.9369	0.9369	0.9369
37	17:53:00	0.1000	0.1812	0.2041	0.9353	0.9353	0.9353	0.9353
38	17:53:12	0.1000	0.1804	0.1964	0.9373	0.9373	0.9373	0.9373
39	17:53:24	0.1000	0.1744	0.1994	0.9354	0.9354	0.9354	0.9354
40	17:53:36	0.1000	0.1734	0.1913	0.9406	0.9406	0.9406	0.9406
41	17:53:47	0.1000	0.1683	0.1928	0.9377	0.9377	0.9377	0.9377
42	17:53:57	0.1000	0.1634	0.1895	0.9401	0.9401	0.9401	0.9401
43	17:54:08	0.1000	0.1609	0.1958	0.9346	0.9346	0.9346	0.9346
44	17:54:19	0.1000	0.1587	0.1921	0.9380	0.9380	0.9380	0.9380
45	17:54:30	0.0500	0.1499	0.1944	0.9390	0.9390	0.9390	0.9390
46	17:54:41	0.0500	0.1429	0.1875	0.9391	0.9391	0.9391	0.9391
47	17:54:51	0.0500	0.1409	0.1865	0.9390	0.9390	0.9390	0.9390
48	17:55:02	0.0500	0.1418	0.1876	0.9395	0.9395	0.9395	0.9395
49	17:55:13	0.0250	0.1342	0.1866	0.9410	0.9410	0.9410	0.9410
50	17:55:24	0.0250	0.1358	0.1887	0.9390	0.9390	0.9390	0.9390
51	17:55:35	0.0250	0.1305	0.1846	0.9406	0.9406	0.9406	0.9406
52	17:55:45	0.0250	0.1346	0.1877	0.9388	0.9388	0.9388	0.9388
53	17:55:54	0.0250	0.1360	0.1856	0.9404	0.9404	0.9404	0.9404
54	17:56:04	0.0125	0.1305	0.1858	0.9411	0.9411	0.9411	0.9411
55	17:56:13	0.0125	0.1253	0.1873	0.9408	0.9408	0.9408	0.9408
56	17:56:24	0.0125	0.1278	0.1874	0.9400	0.9400	0.9400	0.9400
57	17:56:34	0.0125	0.1233	0.1863	0.9413	0.9413	0.9413	0.9413
58	17:56:44	0.0125	0.1261	0.1867	0.9416	0.9416	0.9416	0.9416
59	17:56:53	0.0125	0.1247	0.1869	0.9408	0.9408	0.9408	0.9408
60	17:57:03	0.0125	0.1296	0.1883	0.9405	0.9405	0.9405	0.9405
61	17:57:13	0.0125	0.1284	0.1876	0.9402	0.9402	0.9402	0.9402
62	17:57:23	0.0125	0.1247	0.1875	0.9415	0.9415	0.9415	0.9415
63	17:57:33	0.0063	0.1276	0.1867	0.9408	0.9408	0.9408	0.9408
64	17:57:42	0.0063	0.1189	0.1863	0.9412	0.9412	0.9412	0.9412
65	17:57:52	0.0063	0.1257	0.1858	0.9415	0.9415	0.9415	0.9415
66	17:58:02	0.0063	0.1228	0.1869	0.9409	0.9409	0.9409	0.9409
67	17:58:12	0.0031	0.1239	0.1869	0.9406	0.9406	0.9406	0.9406
68	17:58:22	0.0031	0.1218	0.1866	0.9406	0.9406	0.9406	0.9406
69	17:58:32	0.0031	0.1198	0.1867	0.9405	0.9405	0.9405	0.9405
70	17:58:42	0.0031	0.1179	0.1867	0.9415	0.9415	0.9415	0.9415
71	17:58:52	0.0016	0.1244	0.1866	0.9412	0.9412	0.9412	0.9412
72	17:59:01	0.0016	0.1240	0.1865	0.9404	0.9404	0.9404	0.9404
73	17:59:11	0.0016	0.1234	0.1863	0.9406	0.9406	0.9406	0.9406
74	17:59:21	0.0016	0.1259	0.1863	0.9409	0.9409	0.9409	0.9409
75	17:59:31	0.0008	0.1208	0.1864	0.9410	0.9410	0.9410	0.9410
76	17:59:41	0.0008	0.1206	0.1865	0.9412	0.9412	0.9412	0.9412
77	17:59:51	0.0008	0.1261	0.1865	0.9415	0.9415	0.9415	0.9415
78	18:00:01	0.0008	0.1272	0.1865	0.9414	0.9414	0.9414	0.9414
79	18:00:11	0.0004	0.1183	0.1864	0.9413	0.9413	0.9413	0.9413
80	18:00:22	0.0004	0.1229	0.1864	0.9414	0.9414	0.9414	0.9414
81	18:00:31	0.0004	0.1235	0.1864	0.9412	0.9412	0.9412	0.9412
82	18:00:41	0.0004	0.1174	0.1865	0.9413	0.9413	0.9413	0.9413
83	18:00:51	0.0002	0.1257	0.1865	0.9414	0.9414	0.9414	0.9414
84	18:01:01	0.0002	0.1183	0.1865	0.9414	0.9414	0.9414	0.9414
85	18:01:10	0.0002	0.1215	0.1866	0.9414	0.9414	0.9414	0.9414
