EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:25:57	0.1000	2.3129	1.8870	0.3224	0.3224	0.3224	0.3224
2	21:26:17	0.1000	1.8978	1.6297	0.4313	0.4313	0.4313	0.4313
3	21:26:37	0.1000	1.7047	1.4900	0.4784	0.4784	0.4784	0.4784
4	21:26:55	0.1000	1.3942	1.0576	0.6704	0.6704	0.6704	0.6704
5	21:27:14	0.1000	1.1676	1.0051	0.6554	0.6554	0.6554	0.6554
6	21:27:31	0.1000	1.0382	0.7621	0.7378	0.7378	0.7378	0.7378
7	21:27:49	0.1000	0.9395	0.7644	0.7321	0.7321	0.7321	0.7321
8	21:28:06	0.1000	0.8600	0.6076	0.7878	0.7878	0.7878	0.7878
9	21:28:24	0.1000	0.7981	0.6185	0.7852	0.7852	0.7852	0.7852
10	21:28:42	0.1000	0.7455	0.5271	0.8206	0.8206	0.8206	0.8206
11	21:28:59	0.1000	0.6997	0.5157	0.8234	0.8234	0.8234	0.8234
12	21:29:18	0.1000	0.6589	0.4557	0.8448	0.8448	0.8448	0.8448
13	21:29:36	0.1000	0.6276	0.4379	0.8540	0.8540	0.8540	0.8540
14	21:29:54	0.1000	0.5944	0.4122	0.8649	0.8649	0.8649	0.8649
15	21:30:15	0.1000	0.5605	0.4003	0.8707	0.8707	0.8707	0.8707
16	21:30:35	0.1000	0.5370	0.3716	0.8849	0.8849	0.8849	0.8849
17	21:30:57	0.1000	0.5121	0.3655	0.8855	0.8855	0.8855	0.8855
18	21:31:17	0.1000	0.4879	0.3425	0.8951	0.8951	0.8951	0.8951
19	21:31:37	0.1000	0.4599	0.3314	0.8976	0.8976	0.8976	0.8976
20	21:31:56	0.1000	0.4438	0.3243	0.8994	0.8994	0.8994	0.8994
21	21:32:15	0.1000	0.4269	0.2960	0.9084	0.9084	0.9084	0.9084
22	21:32:32	0.1000	0.4180	0.2969	0.9115	0.9115	0.9115	0.9115
23	21:32:51	0.1000	0.3965	0.2803	0.9147	0.9147	0.9147	0.9147
24	21:33:09	0.1000	0.3870	0.2841	0.9153	0.9153	0.9153	0.9153
25	21:33:29	0.1000	0.3715	0.2635	0.9193	0.9193	0.9193	0.9193
26	21:33:47	0.1000	0.3550	0.2645	0.9198	0.9198	0.9198	0.9198
27	21:34:06	0.1000	0.3435	0.2490	0.9244	0.9244	0.9244	0.9244
28	21:34:25	0.1000	0.3369	0.2539	0.9238	0.9238	0.9238	0.9238
29	21:34:45	0.1000	0.3259	0.2475	0.9262	0.9262	0.9262	0.9262
30	21:35:06	0.1000	0.3148	0.2372	0.9272	0.9272	0.9272	0.9272
31	21:35:26	0.1000	0.3075	0.2333	0.9308	0.9308	0.9308	0.9308
32	21:35:45	0.1000	0.2979	0.2508	0.9286	0.9286	0.9286	0.9286
33	21:36:05	0.1000	0.2973	0.2259	0.9324	0.9324	0.9324	0.9324
34	21:36:25	0.1000	0.2870	0.2271	0.9321	0.9321	0.9321	0.9321
35	21:36:45	0.1000	0.2721	0.2182	0.9351	0.9351	0.9351	0.9351
36	21:37:04	0.1000	0.2734	0.2192	0.9330	0.9330	0.9330	0.9330
37	21:37:23	0.1000	0.2691	0.2124	0.9369	0.9369	0.9369	0.9369
38	21:37:41	0.1000	0.2650	0.2099	0.9378	0.9378	0.9378	0.9378
39	21:37:59	0.1000	0.2572	0.1975	0.9422	0.9422	0.9422	0.9422
40	21:38:16	0.1000	0.2491	0.2136	0.9345	0.9345	0.9345	0.9345
41	21:38:33	0.1000	0.2454	0.2028	0.9405	0.9405	0.9405	0.9405
42	21:38:51	0.1000	0.2413	0.1914	0.9420	0.9420	0.9420	0.9420
43	21:39:09	0.1000	0.2303	0.1943	0.9418	0.9418	0.9418	0.9418
44	21:39:27	0.0500	0.2169	0.1872	0.9441	0.9441	0.9441	0.9441
45	21:39:45	0.0500	0.2186	0.1846	0.9454	0.9454	0.9454	0.9454
46	21:40:02	0.0500	0.2088	0.1864	0.9452	0.9452	0.9452	0.9452
47	21:40:20	0.0500	0.2041	0.1819	0.9467	0.9467	0.9467	0.9467
48	21:40:39	0.0500	0.2051	0.1829	0.9459	0.9459	0.9459	0.9459
49	21:40:57	0.0500	0.2006	0.1853	0.9458	0.9458	0.9458	0.9458
50	21:41:16	0.0500	0.2034	0.1819	0.9461	0.9461	0.9461	0.9461
51	22:23:39	0.0500	0.1963	0.1831	0.9462	0.9462	0.9462	0.9462
52	22:23:59	0.0250	0.1900	0.1793	0.9476	0.9476	0.9476	0.9476
53	22:24:19	0.0250	0.1916	0.1799	0.9478	0.9478	0.9478	0.9478
54	22:24:38	0.0250	0.1842	0.1771	0.9486	0.9486	0.9486	0.9486
55	22:24:59	0.0250	0.1860	0.1782	0.9487	0.9487	0.9487	0.9487
56	22:25:18	0.0250	0.1857	0.1775	0.9491	0.9491	0.9491	0.9491
57	22:25:40	0.0250	0.1836	0.1779	0.9486	0.9486	0.9486	0.9486
58	22:26:01	0.0250	0.1848	0.1767	0.9488	0.9488	0.9488	0.9488
59	22:26:21	0.0250	0.1846	0.1774	0.9481	0.9481	0.9481	0.9481
60	22:26:41	0.0250	0.1769	0.1770	0.9489	0.9489	0.9489	0.9489
61	22:27:01	0.0125	0.1777	0.1760	0.9497	0.9497	0.9497	0.9497
62	22:27:21	0.0125	0.1743	0.1785	0.9486	0.9486	0.9486	0.9486
63	22:27:40	0.0125	0.1754	0.1770	0.9487	0.9487	0.9487	0.9487
64	22:27:59	0.0125	0.1768	0.1779	0.9484	0.9484	0.9484	0.9484
65	22:28:19	0.0125	0.1746	0.1770	0.9491	0.9491	0.9491	0.9491
66	22:28:38	0.0063	0.1742	0.1758	0.9491	0.9491	0.9491	0.9491
67	22:28:55	0.0063	0.1746	0.1760	0.9495	0.9495	0.9495	0.9495
68	22:29:12	0.0063	0.1703	0.1758	0.9495	0.9495	0.9495	0.9495
69	22:29:29	0.0063	0.1716	0.1761	0.9493	0.9493	0.9493	0.9493
70	22:29:45	0.0031	0.1738	0.1759	0.9493	0.9493	0.9493	0.9493
71	22:30:02	0.0031	0.1708	0.1762	0.9491	0.9491	0.9491	0.9491
72	22:30:19	0.0031	0.1715	0.1762	0.9492	0.9492	0.9492	0.9492
73	22:30:35	0.0031	0.1679	0.1763	0.9492	0.9492	0.9492	0.9492
74	22:30:52	0.0016	0.1736	0.1759	0.9492	0.9492	0.9492	0.9492
75	22:31:09	0.0016	0.1695	0.1757	0.9495	0.9495	0.9495	0.9495
76	22:31:26	0.0016	0.1673	0.1761	0.9490	0.9490	0.9490	0.9490
77	22:31:42	0.0016	0.1708	0.1759	0.9493	0.9493	0.9493	0.9493
78	22:31:59	0.0008	0.1716	0.1759	0.9492	0.9492	0.9492	0.9492
79	22:32:16	0.0008	0.1703	0.1758	0.9493	0.9493	0.9493	0.9493
80	22:32:34	0.0008	0.1781	0.1759	0.9491	0.9491	0.9491	0.9491
81	22:32:50	0.0008	0.1771	0.1759	0.9493	0.9493	0.9493	0.9493
82	22:33:07	0.0004	0.1661	0.1759	0.9493	0.9493	0.9493	0.9493
83	22:33:25	0.0004	0.1652	0.1760	0.9493	0.9493	0.9493	0.9493
84	22:33:42	0.0004	0.1675	0.1760	0.9494	0.9494	0.9494	0.9494
85	22:33:59	0.0004	0.1723	0.1760	0.9494	0.9494	0.9494	0.9494
86	22:34:17	0.0002	0.1707	0.1761	0.9494	0.9494	0.9494	0.9494
87	22:40:21	0.0002	0.1728	0.1760	0.9494	0.9494	0.9494	0.9494
88	22:47:45	0.0002	0.1714	0.1760	0.9494	0.9494	0.9494	0.9494
