EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:53:55	0.1000	2.3734	1.7564	0.4877	0.4877	0.4877	0.4877
2	20:53:59	0.1000	1.8682	1.6915	0.3456	0.3456	0.3456	0.3456
3	20:54:03	0.1000	1.7443	1.5098	0.5621	0.5621	0.5621	0.5621
4	20:54:07	0.1000	1.6554	1.4428	0.4497	0.4497	0.4497	0.4497
5	20:54:11	0.1000	1.5210	1.3820	0.5252	0.5252	0.5252	0.5252
6	20:54:15	0.1000	1.4651	1.2376	0.6118	0.6118	0.6118	0.6118
7	20:54:20	0.1000	1.3678	1.1909	0.6066	0.6066	0.6066	0.6066
8	20:54:24	0.1000	1.2505	0.9686	0.6999	0.6999	0.6999	0.6999
9	20:54:28	0.1000	1.1200	0.8483	0.7242	0.7242	0.7242	0.7242
10	20:54:32	0.1000	1.0439	0.8270	0.7336	0.7336	0.7336	0.7336
11	20:54:37	0.1000	0.9860	0.7453	0.7363	0.7363	0.7363	0.7363
12	20:54:41	0.1000	0.9359	0.7333	0.7619	0.7619	0.7619	0.7619
13	20:54:45	0.1000	0.8922	0.6878	0.7630	0.7630	0.7630	0.7630
14	20:54:49	0.1000	0.8567	0.6573	0.7641	0.7641	0.7641	0.7641
15	20:54:53	0.1000	0.8400	0.6373	0.7824	0.7824	0.7824	0.7824
16	20:54:57	0.1000	0.8121	0.6191	0.7822	0.7822	0.7822	0.7822
17	20:55:01	0.1000	0.7845	0.5961	0.7835	0.7835	0.7835	0.7835
18	20:55:06	0.1000	0.7597	0.5746	0.7972	0.7972	0.7972	0.7972
19	20:55:10	0.1000	0.7342	0.5545	0.7989	0.7989	0.7989	0.7989
20	20:55:14	0.1000	0.7096	0.5427	0.8088	0.8088	0.8088	0.8088
21	20:55:19	0.1000	0.6996	0.5381	0.8053	0.8053	0.8053	0.8053
22	20:55:23	0.1000	0.6736	0.5149	0.8164	0.8164	0.8164	0.8164
23	20:55:27	0.1000	0.6552	0.5028	0.8177	0.8177	0.8177	0.8177
24	20:55:31	0.1000	0.6378	0.4770	0.8350	0.8350	0.8350	0.8350
25	20:55:35	0.1000	0.6007	0.4634	0.8390	0.8390	0.8390	0.8390
26	20:55:39	0.1000	0.5897	0.4643	0.8398	0.8398	0.8398	0.8398
27	20:55:42	0.1000	0.5597	0.4496	0.8466	0.8466	0.8466	0.8466
28	20:55:46	0.1000	0.5343	0.4414	0.8512	0.8512	0.8512	0.8512
29	20:55:50	0.1000	0.5260	0.4252	0.8585	0.8585	0.8585	0.8585
30	20:55:53	0.1000	0.5098	0.4119	0.8665	0.8665	0.8665	0.8665
31	20:55:57	0.1000	0.4881	0.4145	0.8641	0.8641	0.8641	0.8641
32	20:56:01	0.1000	0.4743	0.4229	0.8644	0.8644	0.8644	0.8644
33	20:56:04	0.1000	0.4544	0.4003	0.8754	0.8754	0.8754	0.8754
34	20:56:08	0.1000	0.4446	0.3942	0.8789	0.8789	0.8789	0.8789
35	20:56:12	0.1000	0.4327	0.3960	0.8814	0.8814	0.8814	0.8814
36	20:56:16	0.1000	0.4222	0.4000	0.8762	0.8762	0.8762	0.8762
37	20:56:19	0.1000	0.4082	0.4073	0.8838	0.8838	0.8838	0.8838
38	20:56:23	0.1000	0.3955	0.3942	0.8854	0.8854	0.8854	0.8854
39	20:56:27	0.1000	0.3949	0.4055	0.8819	0.8819	0.8819	0.8819
40	20:56:31	0.1000	0.3907	0.4088	0.8857	0.8857	0.8857	0.8857
41	20:56:34	0.1000	0.3687	0.3863	0.8900	0.8900	0.8900	0.8900
42	20:56:38	0.1000	0.3567	0.3803	0.8908	0.8908	0.8908	0.8908
43	20:56:41	0.1000	0.3568	0.3808	0.8892	0.8892	0.8892	0.8892
44	20:56:45	0.1000	0.3524	0.4095	0.8886	0.8886	0.8886	0.8886
45	20:56:49	0.1000	0.3497	0.3833	0.8922	0.8922	0.8922	0.8922
46	20:56:52	0.1000	0.3422	0.3896	0.8938	0.8938	0.8938	0.8938
47	20:56:56	0.1000	0.3273	0.3942	0.8935	0.8935	0.8935	0.8935
48	20:57:00	0.1000	0.3283	0.3985	0.8924	0.8924	0.8924	0.8924
49	20:57:03	0.1000	0.3330	0.3841	0.8973	0.8973	0.8973	0.8973
50	20:57:07	0.1000	0.3259	0.3832	0.8922	0.8922	0.8922	0.8922
51	20:57:11	0.1000	0.3014	0.3846	0.8946	0.8946	0.8946	0.8946
52	20:57:15	0.1000	0.2979	0.3775	0.8965	0.8965	0.8965	0.8965
53	20:57:18	0.1000	0.3118	0.3839	0.8986	0.8986	0.8986	0.8986
54	20:57:22	0.1000	0.2874	0.3711	0.9000	0.9000	0.9000	0.9000
55	20:57:26	0.1000	0.2916	0.3789	0.9032	0.9032	0.9032	0.9032
56	20:57:30	0.1000	0.2933	0.3849	0.9021	0.9021	0.9021	0.9021
57	20:57:33	0.1000	0.2709	0.3929	0.8978	0.8978	0.8978	0.8978
58	20:57:37	0.1000	0.2736	0.3740	0.9002	0.9002	0.9002	0.9002
59	20:57:41	0.1000	0.2644	0.3807	0.9016	0.9016	0.9016	0.9016
60	20:57:44	0.0500	0.2584	0.3803	0.9013	0.9013	0.9013	0.9013
61	20:57:48	0.0500	0.2486	0.3740	0.9019	0.9019	0.9019	0.9019
62	20:57:51	0.0500	0.2437	0.3791	0.9029	0.9029	0.9029	0.9029
63	20:57:55	0.0500	0.2470	0.3851	0.9035	0.9035	0.9035	0.9035
64	20:57:59	0.0500	0.2398	0.3835	0.9029	0.9029	0.9029	0.9029
65	20:58:03	0.0500	0.2430	0.3734	0.9032	0.9032	0.9032	0.9032
66	20:58:06	0.0500	0.2391	0.3818	0.9056	0.9056	0.9056	0.9056
67	20:58:10	0.0500	0.2256	0.3769	0.9040	0.9040	0.9040	0.9040
68	20:58:14	0.0500	0.2364	0.3836	0.9043	0.9043	0.9043	0.9043
69	20:58:18	0.0500	0.2275	0.3933	0.9016	0.9016	0.9016	0.9016
70	20:58:22	0.0500	0.2244	0.3853	0.9070	0.9070	0.9070	0.9070
71	20:58:26	0.0500	0.2251	0.3812	0.9056	0.9056	0.9056	0.9056
72	20:58:29	0.0500	0.2313	0.3837	0.9067	0.9067	0.9067	0.9067
73	20:58:33	0.0500	0.2236	0.3914	0.9062	0.9062	0.9062	0.9062
74	20:58:37	0.0500	0.2307	0.3800	0.9073	0.9073	0.9073	0.9073
75	20:58:40	0.0500	0.2203	0.3825	0.9078	0.9078	0.9078	0.9078
76	20:58:44	0.0500	0.2028	0.3908	0.9083	0.9083	0.9083	0.9083
77	20:58:47	0.0500	0.2226	0.3872	0.9091	0.9091	0.9091	0.9091
78	20:58:50	0.0500	0.2165	0.3904	0.9081	0.9081	0.9081	0.9081
79	20:58:54	0.0500	0.2251	0.3871	0.9075	0.9075	0.9075	0.9075
80	20:58:57	0.0500	0.2132	0.3913	0.9083	0.9083	0.9083	0.9083
81	20:59:00	0.0500	0.2072	0.3962	0.9070	0.9070	0.9070	0.9070
82	20:59:03	0.0250	0.2013	0.3920	0.9078	0.9078	0.9078	0.9078
83	20:59:08	0.0250	0.2107	0.3903	0.9097	0.9097	0.9097	0.9097
84	20:59:11	0.0250	0.1940	0.3905	0.9083	0.9083	0.9083	0.9083
85	20:59:14	0.0250	0.1953	0.3865	0.9102	0.9102	0.9102	0.9102
86	20:59:17	0.0250	0.2014	0.3905	0.9094	0.9094	0.9094	0.9094
87	20:59:21	0.0250	0.1981	0.3918	0.9089	0.9089	0.9089	0.9089
88	20:59:24	0.0250	0.1971	0.3938	0.9083	0.9083	0.9083	0.9083
89	20:59:27	0.0250	0.1937	0.3962	0.9094	0.9094	0.9094	0.9094
90	20:59:31	0.0125	0.1792	0.3947	0.9097	0.9097	0.9097	0.9097
91	20:59:34	0.0125	0.1907	0.3944	0.9086	0.9086	0.9086	0.9086
92	20:59:37	0.0125	0.1967	0.3948	0.9094	0.9094	0.9094	0.9094
93	20:59:41	0.0125	0.1872	0.3883	0.9113	0.9113	0.9113	0.9113
94	20:59:44	0.0125	0.1832	0.3951	0.9091	0.9091	0.9091	0.9091
95	20:59:48	0.0125	0.1895	0.3911	0.9099	0.9099	0.9099	0.9099
96	20:59:51	0.0125	0.1876	0.3935	0.9094	0.9094	0.9094	0.9094
97	20:59:55	0.0125	0.1833	0.3925	0.9102	0.9102	0.9102	0.9102
98	20:59:58	0.0063	0.1849	0.3962	0.9089	0.9089	0.9089	0.9089
