EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:43:05	0.1000	1.7955	1.3120	0.5494	0.5494	0.5494	0.5494
2	17:43:14	0.1000	1.3079	0.9714	0.6667	0.6667	0.6667	0.6667
3	17:43:23	0.1000	1.0255	0.7646	0.7484	0.7484	0.7484	0.7484
4	17:43:31	0.1000	0.8695	0.6681	0.7780	0.7780	0.7780	0.7780
5	17:43:41	0.1000	0.7485	0.5752	0.8052	0.8052	0.8052	0.8052
6	17:43:50	0.1000	0.6727	0.5298	0.8233	0.8233	0.8233	0.8233
7	17:43:59	0.1000	0.6063	0.4784	0.8504	0.8504	0.8504	0.8504
8	17:44:08	0.1000	0.5459	0.4321	0.8617	0.8617	0.8617	0.8617
9	17:44:18	0.1000	0.5080	0.4104	0.8694	0.8694	0.8694	0.8694
10	17:44:27	0.1000	0.4781	0.4017	0.8728	0.8728	0.8728	0.8728
11	17:44:37	0.1000	0.4518	0.3976	0.8780	0.8780	0.8780	0.8780
12	17:44:45	0.1000	0.4314	0.3827	0.8828	0.8828	0.8828	0.8828
13	17:44:54	0.1000	0.4068	0.3576	0.8841	0.8841	0.8841	0.8841
14	17:45:02	0.1000	0.3845	0.3477	0.8879	0.8879	0.8879	0.8879
15	17:45:11	0.1000	0.3687	0.3315	0.8934	0.8934	0.8934	0.8934
16	17:45:20	0.1000	0.3496	0.3306	0.8947	0.8947	0.8947	0.8947
17	17:45:30	0.1000	0.3418	0.3317	0.8961	0.8961	0.8961	0.8961
18	17:45:41	0.1000	0.3202	0.3037	0.9032	0.9032	0.9032	0.9032
19	17:45:50	0.1000	0.2937	0.3184	0.8980	0.8980	0.8980	0.8980
20	17:46:01	0.1000	0.2851	0.3042	0.9056	0.9056	0.9056	0.9056
21	17:46:12	0.1000	0.2779	0.3260	0.8987	0.8987	0.8987	0.8987
22	17:46:21	0.1000	0.2688	0.2982	0.9054	0.9054	0.9054	0.9054
23	17:46:31	0.1000	0.2574	0.2800	0.9120	0.9120	0.9120	0.9120
24	17:46:40	0.1000	0.2488	0.2909	0.9125	0.9125	0.9125	0.9125
25	17:46:50	0.1000	0.2367	0.2883	0.9162	0.9162	0.9162	0.9162
26	17:46:59	0.1000	0.2336	0.2736	0.9170	0.9170	0.9170	0.9170
27	17:47:09	0.1000	0.2208	0.2755	0.9155	0.9155	0.9155	0.9155
