EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:25:26	0.1000	2.0664	1.7325	0.1298	0.1304	0.1301	0.1298
2	20:25:56	0.1000	1.7283	1.7052	0.1227	0.1234	0.1231	0.1227
3	20:26:24	0.1000	1.6612	1.5707	0.1709	0.1717	0.1713	0.1709
4	20:26:53	0.1000	1.6222	1.5449	0.3102	0.3118	0.3110	0.3102
5	20:27:22	0.1000	1.5974	1.5720	0.2026	0.2037	0.2031	0.2026
6	20:27:52	0.1000	1.5811	1.4944	0.2959	0.2974	0.2967	0.2959
7	20:28:21	0.1000	1.5724	1.4700	0.2731	0.2745	0.2738	0.2731
8	20:28:49	0.1000	1.5630	1.4620	0.2933	0.2948	0.2940	0.2933
9	20:29:18	0.0500	1.5389	1.4557	0.3079	0.3094	0.3086	0.3079
10	20:29:47	0.0500	1.5332	1.4581	0.3211	0.3227	0.3219	0.3211
11	20:30:17	0.0500	1.5297	1.4388	0.3262	0.3278	0.3270	0.3262
12	20:30:47	0.0500	1.5270	1.4590	0.3251	0.3267	0.3259	0.3250
13	20:31:16	0.0500	1.5232	1.4327	0.2373	0.2384	0.2379	0.2372
14	20:31:45	0.0500	1.5200	1.4400	0.3132	0.3143	0.3137	0.3127
15	20:32:14	0.0500	1.5175	1.4280	0.2941	0.2951	0.2946	0.2936
16	20:32:44	0.0250	1.5118	1.4218	0.3175	0.3184	0.3180	0.3168
17	20:33:12	0.0250	1.5070	1.4213	0.3339	0.3350	0.3344	0.3333
18	20:33:42	0.0250	1.5075	1.4178	0.2809	0.2818	0.2814	0.2804
19	20:34:10	0.0250	1.5062	1.4147	0.3220	0.3231	0.3226	0.3215
20	20:34:40	0.0250	1.5039	1.4142	0.3469	0.3479	0.3474	0.3462
21	20:35:09	0.0250	1.5008	1.4149	0.3228	0.3243	0.3236	0.3227
22	20:35:39	0.0250	1.5012	1.4190	0.3416	0.3432	0.3424	0.3415
23	20:36:08	0.0250	1.5013	1.4081	0.3455	0.3466	0.3460	0.3448
24	20:36:38	0.0250	1.5008	1.4136	0.3426	0.3442	0.3434	0.3425
25	20:37:06	0.0125	1.4971	1.4079	0.3439	0.3449	0.3444	0.3432
26	20:37:35	0.0125	1.4947	1.4075	0.3464	0.3475	0.3470	0.3458
