EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	09:27:59	0.1000	1.9293	1.6777	0.1411	0.1460	0.1435	0.1403
2	09:28:37	0.1000	1.6391	1.5857	0.1522	0.0957	0.1175	0.0945
3	09:29:14	0.1000	1.5835	1.5508	0.1220	0.1251	0.1235	0.1203
4	09:29:59	0.1000	1.5519	1.5080	0.2464	0.2533	0.2498	0.2439
5	09:30:46	0.1000	1.5300	1.5049	0.1575	0.1578	0.1577	0.1529
6	09:31:42	0.1000	1.5155	1.4774	0.3640	0.1700	0.2318	0.1690
7	09:32:37	0.1000	1.5074	1.4706	0.2573	0.2377	0.2471	0.2328
8	09:33:33	0.1000	1.4992	1.4969	0.3102	0.2174	0.2556	0.2149
9	09:34:33	0.1000	1.4919	1.4835	0.2300	0.2335	0.2317	0.2253
10	09:35:36	0.1000	1.4887	1.4758	0.3651	0.1821	0.2430	0.1814
11	09:36:41	0.1000	1.4886	1.4925	0.2953	0.3056	0.3004	0.2940
12	09:37:44	0.1000	1.4829	1.4481	0.2648	0.2640	0.2644	0.2554
13	09:38:46	0.1000	1.4796	1.4633	0.1153	0.1082	0.1116	0.1060
14	09:39:46	0.1000	1.4764	1.4665	0.2674	0.2610	0.2641	0.2538
15	09:40:50	0.1000	1.4736	1.4602	0.2381	0.2475	0.2427	0.2377
16	09:41:58	0.0500	1.4503	1.4313	0.2932	0.2846	0.2889	0.2763
17	09:42:57	0.0500	1.4494	1.4291	0.3168	0.2213	0.2606	0.2181
18	09:44:05	0.0500	1.4473	1.4236	0.3478	0.2025	0.2560	0.2002
19	09:45:11	0.0500	1.4454	1.4296	0.3154	0.2991	0.3070	0.2910
20	09:46:15	0.0500	1.4414	1.4253	0.1448	0.1234	0.1332	0.1217
21	09:47:27	0.0500	1.4405	1.4249	0.3063	0.3096	0.3079	0.2987
22	09:48:32	0.0500	1.4411	1.4371	0.2990	0.3096	0.3042	0.2976
23	09:49:36	0.0500	1.4382	1.4138	0.3259	0.2910	0.3075	0.2834
24	09:50:38	0.0500	1.4355	1.4086	0.3320	0.1504	0.2070	0.1499
25	09:51:39	0.0500	1.4335	1.4156	0.3039	0.3089	0.3064	0.2981
26	09:52:45	0.0250	1.4281	1.4001	0.3475	0.1492	0.2087	0.1487
27	09:53:52	0.0250	1.4273	1.3981	0.3393	0.2400	0.2812	0.2369
28	09:54:55	0.0250	1.4239	1.4032	0.3262	0.2898	0.3069	0.2831
29	09:55:57	0.0250	1.4241	1.4106	0.3377	0.2482	0.2861	0.2443
30	09:56:59	0.0125	1.4207	1.3957	0.3387	0.2469	0.2856	0.2433
31	09:58:04	0.0125	1.4196	1.3955	0.3367	0.2514	0.2878	0.2472
32	09:59:07	0.0125	1.4221	1.3962	0.3506	0.2085	0.2615	0.2066
33	10:00:11	0.0125	1.4186	1.3944	0.3286	0.2314	0.2716	0.2281
34	10:01:14	0.0063	1.4167	1.3970	0.3262	0.2791	0.3008	0.2733
35	10:02:09	0.0063	1.4160	1.3956	0.3286	0.2879	0.3069	0.2813
36	10:03:04	0.0063	1.4163	1.3947	0.3258	0.2797	0.3010	0.2739
37	10:03:59	0.0063	1.4158	1.3919	0.3387	0.2520	0.2890	0.2482
38	10:04:57	0.0031	1.4139	1.3902	0.3333	0.2353	0.2758	0.2320
39	10:05:51	0.0031	1.4159	1.3911	0.3307	0.2611	0.2918	0.2567
40	10:06:44	0.0031	1.4151	1.3929	0.3321	0.2697	0.2977	0.2648
41	10:07:42	0.0031	1.4157	1.3906	0.3375	0.2237	0.2691	0.2210
42	10:08:36	0.0016	1.4135	1.3920	0.3315	0.2556	0.2887	0.2513
43	10:09:27	0.0016	1.4132	1.3920	0.3324	0.2702	0.2981	0.2651
44	10:10:09	0.0016	1.4149	1.3916	0.3319	0.2652	0.2948	0.2605
45	10:10:53	0.0016	1.4130	1.3900	0.3337	0.2471	0.2840	0.2434
46	10:11:36	0.0008	1.4130	1.3911	0.3317	0.2611	0.2922	0.2564
47	10:12:18	0.0008	1.4128	1.3907	0.3325	0.2494	0.2850	0.2453
48	10:12:59	0.0008	1.4129	1.3904	0.3329	0.2488	0.2847	0.2447
49	10:13:42	0.0008	1.4116	1.3915	0.3326	0.2613	0.2926	0.2566
50	10:14:23	0.0004	1.4126	1.3907	0.3323	0.2527	0.2871	0.2486
51	10:15:06	0.0004	1.4127	1.3913	0.3319	0.2590	0.2910	0.2545
52	10:15:50	0.0004	1.4108	1.3905	0.3340	0.2506	0.2864	0.2465
53	10:16:33	0.0004	1.4133	1.3902	0.3349	0.2492	0.2858	0.2452
54	10:17:18	0.0002	1.4129	1.3905	0.3330	0.2522	0.2870	0.2479
55	10:18:03	0.0002	1.4137	1.3905	0.3340	0.2547	0.2890	0.2503
56	10:18:46	0.0002	1.4151	1.3907	0.3321	0.2557	0.2889	0.2513
